peak	gene	distance	peak_type
chr2_241000400_241000795	OR6B3	-13957	distal
chr2_241075100_241076614	MYEOV2	0	promoter
chr2_241082973_241083657	OTOS	322	distal
chr2_241089641_241089958	OTOS	-5663	distal
chr2_241172265_241173603	OTOS	-88287	distal
chr2_241373999_241376150	GPC1	0	promoter
chr2_241377469_241378113	GPC1	2382	distal
chr2_241391908_241392497	GPC1	0	promoter
chr2_241413418_241413593	GPC1	21191	distal
chr2_241453048_241454011	ANKMY1	43368	distal
chr2_241496090_241498023	ANKMY1	0	promoter
chr2_241499066_241501771	ANKMY1;DUSP28	0;0	promoter;promoter
chr2_241504016_241509320	RNPEPL1	0	promoter
chr2_241518591_241519993	CAPN10;RNPEPL1	-6140;0	distal;distal
chr2_241523829_241527053	CAPN10	0	promoter
chr2_241535068_241535457	CAPN10	8781	distal
chr2_241543684_241544139	CAPN10;GPR35	0;-709	distal;promoter
chr2_241551161_241552238	CAPN10;GPR35	0;-6122	distal;distal
chr2_241560224_241565158	GPR35	0	promoter
chr2_241565967_241566763	GPR35	-87	promoter
chr2_241585496_241586193	GPR35	18647	distal
chr2_241595572_241596038	AQP12B	26279	distal
chr2_241673269_241673593	AQP12A;KIF1A	42002;0	distal;distal
chr2_241679231_241679632	AQP12A;KIF1A	47964;0	distal;distal
chr2_241759506_241759875	KIF1A	0	promoter
chr2_241771108_241772730	KIF1A	-11384	distal
chr2_241790541_241791083	AGXT	-16813	distal
chr2_241853752_241854174	CROCC2	8006	distal
chr2_241899978_241900765	CROCC2;SNED1	0;-37490	distal;distal
chr2_241904805_241905630	CROCC2;SNED1	0;-32625	distal;distal
chr2_241922745_241923200	CROCC2;SNED1	0;-15055	distal;distal
chr2_241937377_241938764	SNED1	0	promoter
chr2_241949009_241949808	SNED1	10755	distal
chr2_241974812_241976797	SNED1	-25998	distal
chr2_241980871_241981655	SNED1	-21140	distal
chr2_242003135_242003951	SNED1	341	distal
chr2_242017762_242018256	SNED1	14968	distal
chr2_242034979_242035458	MTERF4;SNED1	6252;0	distal;distal
chr2_242040804_242042679	MTERF4	0	promoter
chr2_242043397_242043759	MTERF4	-1651	distal
chr2_242047947_242049126	MTERF4;PASK	-6201;0	distal;distal
chr2_242050027_242051174	MTERF4;PASK	-8281;0	distal;distal
chr2_242052052_242052396	MTERF4;PASK	-10306;0	distal;distal
chr2_242063289_242063599	PASK	18848	distal
chr2_242067035_242067477	PASK	14970	distal
chr2_242088215_242090531	PASK;PPP1R7	0;0	promoter;promoter
chr2_242156641_242158441	AC104841.2;ANO7	-8878;0	distal;distal
chr2_242210946_242212725	HDLBP	0	promoter
chr2_242238093_242238638	HDLBP;SEPT2	0;-15877	distal;distal
chr2_242239435_242239851	HDLBP;SEPT2	0;-14664	distal;distal
chr2_242244832_242245212	HDLBP;SEPT2	0;-9303	distal;distal
chr2_242248930_242249637	HDLBP;SEPT2	0;-4878	distal;distal
chr2_242253518_242257191	HDLBP;SEPT2	0;0	promoter;promoter
chr2_242264212_242264507	SEPT2	8870	distal
chr2_242275620_242276117	FARP2;SEPT2	-19541;0	distal;distal
chr2_242294131_242296448	FARP2	0	promoter
chr2_242297738_242298367	FARP2	2027	distal
chr2_242313986_242314401	FARP2	18275	distal
chr2_242382813_242383781	FARP2;STK25	0;63996	distal;distal
chr2_242446911_242448992	STK25	0	promoter
chr2_242480383_242481015	BOK	-17121	distal
chr2_242549107_242550374	THAP4	6531	distal
chr2_242556699_242557674	THAP4	0	promoter
chr2_242575585_242577996	ATG4B;THAP4	0;0	promoter;promoter
chr2_242598775_242598856	ATG4B	21749	distal
chr2_242604878_242605166	ATG4B;DTYMK	0;21240	distal;distal
chr2_242625573_242627396	DTYMK;ING5	0;0	promoter;promoter
chr2_242640317_242642759	ING5	0	promoter
chr2_242663928_242664272	D2HGDH;ING5	-9722;0	distal;distal
chr2_242671782_242672398	D2HGDH	-1596	distal
chr2_242673328_242675242	D2HGDH	0	promoter
chr2_242679519_242680912	D2HGDH	5503	distal
chr2_242698570_242698869	D2HGDH;GAL3ST2	0;-17371	distal;distal
chr2_242701662_242703997	D2HGDH;GAL3ST2	0;-12243	distal;distal
chr2_242711493_242711990	GAL3ST2	-4250	distal
chr2_242728089_242728255	GAL3ST2	11850	distal
chr2_242742757_242744639	GAL3ST2;NEU4	0;-5281	distal;distal
chr2_242754711_242755375	NEU4	2617	distal
chr2_242784651_242786940	PDCD1	14120	distal
chr2_242795849_242796321	PDCD1	4739	distal
chr2_242799457_242802802	PDCD1	0	promoter
chr2_242805289_242806566	PDCD1	-4230	distal
chr2_242807498_242811787	RTP5	-94	promoter
chr2_242812921_242814190	RTP5	1041	distal
chr2_242817890_242818253	RTP5	6010	distal
chr2_242819276_242819352	RTP5	7396	distal
chr2_242820089_242820625	RTP5	8209	distal
chr2_242822931_242824943	RTP5	11051	distal
chr2_242867786_242868293	AC131097.4	-23085	distal
chr2_242892927_242893364	AC131097.4	-48226	distal
chr2_242905653_242905731	AC131097.4	-60952	distal
chr2_242907938_242908719	AC131097.4	-63237	distal
chr2_242927076_242927741	AC131097.4	-82375	distal
chr2_242973605_242974447	AC131097.4	-128904	distal
chr2_243027544_243028890	AC131097.4	-182843	distal
chr2_243030116_243031472	AC131097.4	-185415	distal
chr2_243040568_243041076	AC131097.4	-195867	distal
chr3_319959_320396	CHL1	-40970	distal
chr3_3069862_3070253	CNTN4;IL5RA	0;81411	distal;distal
chr3_3130715_3130990	IL5RA	20674	distal
chr3_3151772_3152385	IL5RA	0	promoter
chr3_3167854_3169764	TRNT1	0	promoter
chr3_3192042_3192358	CRBN	-4745	distal
chr3_3212612_3213052	CRBN	8342	distal
chr3_3214120_3215527	CRBN	5867	distal
chr3_3219609_3220199	CRBN	1195	distal
chr3_3220700_3221935	CRBN	0	promoter
chr3_3233585_3234193	CRBN	-12175	distal
chr3_3242323_3242722	CRBN	-20913	distal
chr3_3243336_3243657	CRBN	-21926	distal
chr3_3620430_3620741			intergenic
chr3_3674241_3674450	LRRN1	-166671	distal
chr3_3840125_3841709	LRRN1	0	promoter
chr3_3859550_3859986	LRRN1	18430	distal
chr3_4103613_4103872			intergenic
chr3_4106752_4107165			intergenic
chr3_4312408_4312754	SETMAR	-32234	distal
chr3_4331955_4332415	SETMAR	-12573	distal
chr3_4344538_4345939	SETMAR	0	promoter
chr3_4351268_4351598	SETMAR	6214	distal
chr3_4364354_4364580	SETMAR	19300	distal
chr3_4382322_4382366	SETMAR	37268	distal
chr3_4392441_4393682	SETMAR	47387	distal
chr3_4436071_4436082	SUMF1	72866	distal
chr3_4462800_4463309	SUMF1	45639	distal
chr3_4493107_4493552	SUMF1	15396	distal
chr3_4508284_4509409	SUMF1	0	promoter
chr3_4515738_4517889	SUMF1	-6774	distal
chr3_4519913_4520425	SUMF1	-10949	distal
chr3_4533619_4537675	ITPR1	0	promoter
chr3_4544746_4545265	ITPR1	9713	distal
chr3_4545830_4546990	ITPR1	10797	distal
chr3_4548754_4549564	ITPR1	-8612	distal
chr3_4559352_4562416	ITPR1	1177	distal
chr3_4567333_4567894	ITPR1	9158	distal
chr3_4571523_4571994	ITPR1	13348	distal
chr3_4575353_4575851	ITPR1	17178	distal
chr3_4589524_4589872	ITPR1	31349	distal
chr3_4613610_4613789	ITPR1	55435	distal
chr3_4626024_4626810	ITPR1	67849	distal
chr3_4643659_4643961	ITPR1	85484	distal
chr3_4670089_4670297	ITPR1	111914	distal
chr3_4675007_4675486	ITPR1	116832	distal
chr3_4752837_4754207	ITPR1	194662	distal
chr3_4762425_4762685	ITPR1	0	distal
chr3_4780465_4781069	ITPR1	0	distal
chr3_4781723_4781727	ITPR1	0	distal
chr3_4782237_4783748	ITPR1	0	distal
chr3_4790202_4790968	ITPR1	0	distal
chr3_4793055_4794267	ITPR1	0	distal
chr3_4855976_4856607	BHLHE40;ITPR1	-164194;0	distal;distal
chr3_4862533_4864401	BHLHE40;ITPR1	-156400;0	distal;distal
chr3_4866603_4867957	BHLHE40;ITPR1	-152844;0	distal;distal
chr3_4869822_4870489	BHLHE40;ITPR1	-150312;0	distal;distal
chr3_4872291_4873801	BHLHE40;ITPR1	-147000;0	distal;distal
chr3_4875806_4876711	BHLHE40;ITPR1	-144090;0	distal;distal
chr3_4887411_4888082	BHLHE40;ITPR1	-132719;0	distal;distal
chr3_4891824_4893254	BHLHE40	-127547	distal
chr3_4908487_4911473	BHLHE40	-109328	distal
chr3_4930740_4931432	BHLHE40	-89369	distal
chr3_4940344_4940651	BHLHE40	-80150	distal
chr3_4991987_4992546	BHLHE40	-28255	distal
chr3_5007688_5008132	BHLHE40	-12669	distal
chr3_5017731_5024156	BHLHE40	0	promoter
chr3_5024879_5026439	BHLHE40	4079	distal
chr3_5027052_5029194	BHLHE40	6252	distal
chr3_5031684_5032343	BHLHE40	10884	distal
chr3_5043837_5044720	BHLHE40	23037	distal
chr3_5048226_5049055	BHLHE40	27426	distal
chr3_5052426_5055562	BHLHE40	31626	distal
chr3_5057970_5058716	BHLHE40	37170	distal
chr3_5059773_5059875	BHLHE40	38973	distal
chr3_5061092_5061951	BHLHE40	40292	distal
chr3_5067776_5069027	BHLHE40	46976	distal
chr3_5079549_5080212	BHLHE40	58749	distal
chr3_5095929_5096218	ARL8B	-67687	distal
chr3_5096984_5097797	ARL8B	-66108	distal
chr3_5099155_5099955	ARL8B	-63950	distal
chr3_5163577_5165558	ARL8B	0	promoter
chr3_5168283_5168653	ARL8B	4303	distal
chr3_5178168_5179131	ARL8B	14188	distal
chr3_5181120_5182349	ARL8B	17140	distal
chr3_5185978_5186527	ARL8B	21998	distal
chr3_5223418_5223917	EDEM1	-5441	distal
chr3_5225505_5225624	EDEM1	-3734	distal
chr3_5227313_5231176	EDEM1	0	promoter
chr3_5233573_5234733	EDEM1	3540	distal
chr3_5236216_5239978	EDEM1	6183	distal
chr3_5240900_5241525	EDEM1	10867	distal
chr3_5247143_5247504	EDEM1	17110	distal
chr3_5464796_5465594			intergenic
chr3_5467989_5468468			intergenic
chr3_5473493_5473873			intergenic
chr3_5505613_5506151			intergenic
chr3_5506923_5507056			intergenic
chr3_5507762_5508104			intergenic
chr3_5606896_5607065			intergenic
chr3_5620995_5621932			intergenic
chr3_5686783_5687149			intergenic
chr3_5698484_5699456			intergenic
chr3_6016447_6016731			intergenic
chr3_7649387_7649740	GRM7	0	distal
chr3_7724434_7725010	GRM7	0	distal
chr3_7801266_7801737			intergenic
chr3_7918383_7919027			intergenic
chr3_8152819_8153284			intergenic
chr3_8366438_8366844	LMCD1	-176549	distal
chr3_8398422_8399579	LMCD1	-143814	distal
chr3_8459001_8459464	LMCD1	-83929	distal
chr3_8542894_8543815	LMCD1	0	promoter
chr3_8571817_8572136	LMCD1	28274	distal
chr3_8664730_8664940	SSUH2	21544	distal
chr3_8671051_8671579	SSUH2	14905	distal
chr3_8699991_8700469	SSUH2	-6232	distal
chr3_8811038_8811366	OXTR	0	promoter
chr3_8906165_8906669	OXTR	-94863	distal
chr3_8996720_8996918	RAD18	8236	distal
chr3_9001301_9001735	RAD18	3419	distal
chr3_9004240_9005706	RAD18	0	promoter
chr3_9012619_9013314	RAD18	-7434	distal
chr3_9014362_9014462	RAD18	-9177	distal
chr3_9029508_9030043	RAD18;SRGAP3	-24323;0	distal;distal
chr3_9129527_9130016	SRGAP3	36645	distal
chr3_9221750_9222239	SRGAP3	-55090	distal
chr3_9290173_9291938	SRGAP3	0	promoter
chr3_9344100_9344698	SRGAP3	-53038	distal
chr3_9394786_9395272	THUMPD3	-9254	distal
chr3_9395813_9396479	THUMPD3	-8047	distal
chr3_9404213_9405411	THUMPD3	0	promoter
chr3_9432179_9433185	SETD5	-6218	distal
chr3_9437253_9441854	SETD5	0	promoter
chr3_9446386_9446757	SETD5	6799	distal
chr3_9451864_9452563	SETD5	12277	distal
chr3_9464402_9465216	SETD5	-5393	distal
chr3_9494078_9494520	SETD5	22445	distal
chr3_9542158_9542621	LHFPL4	52865	distal
chr3_9544853_9545288	LHFPL4	50198	distal
chr3_9684282_9684696	MTMR14	-6421	distal
chr3_9690499_9692528	MTMR14	0	promoter
chr3_9695641_9695736	MTMR14	4446	distal
chr3_9745455_9746748	CPNE9	0	promoter
chr3_9757023_9757976	CPNE9	11514	distal
chr3_9758519_9758872	CPNE9	13010	distal
chr3_9768546_9769556	BRPF1;CPNE9	-3857;0	distal;distal
chr3_9772257_9774716	BRPF1	0	promoter
chr3_9776554_9777018	BRPF1	741	distal
chr3_9790885_9792709	OGG1	0	promoter
chr3_9809022_9809532	CAMK1	2129	distal
chr3_9811159_9812051	CAMK1	0	promoter
chr3_9820836_9822476	CAMK1;TADA3	-9176;0	distal;distal
chr3_9833436_9835562	ARPC4;ARPC4-TTLL3;TADA3	0;0;0	promoter;promoter;promoter
chr3_9836827_9837491	ARPC4;ARPC4-TTLL3	2027;0	distal;distal
chr3_9849788_9852517	ARPC4-TTLL3;TTLL3	0;0	distal;promoter
chr3_9868953_9869257	ARPC4-TTLL3;TTLL3	0;6976	distal;distal
chr3_9879813_9880203	RPUSD3;TTLL3	5423;0	distal;distal
chr3_9884766_9886382	RPUSD3;TTLL3	0;0	promoter;distal
chr3_9890458_9890874	RPUSD3;TTLL3	-4759;0	distal;distal
chr3_9904165_9904922	CIDEC	15250	distal
chr3_9906149_9906400	CIDEC	13772	distal
chr3_9931734_9933162	JAGN1	0	promoter
chr3_9943553_9944466	IL17RE	0	promoter
chr3_9954058_9954447	IL17RC;IL17RE	-4311;0	distal;distal
chr3_9956612_9959060	IL17RC;IL17RE	0;0	promoter;distal
chr3_9974048_9977132	CRELD1;IL17RC	0;0	promoter;distal
chr3_9987686_9988771	PRRT3	5303	distal
chr3_9993073_9994418	PRRT3	0	promoter
chr3_10018580_10019159	EMC3	9207	distal
chr3_10021437_10021986	EMC3	6380	distal
chr3_10024554_10025082	EMC3	3284	distal
chr3_10027867_10029528	EMC3	0	promoter
chr3_10050221_10051435	FANCD2	-16663	distal
chr3_10052181_10053475	FANCD2	-14623	distal
chr3_10056993_10057689	FANCD2	-10409	distal
chr3_10065295_10065773	FANCD2	-2325	distal
chr3_10067407_10068731	FANCD2	0	promoter
chr3_10156670_10158272	BRK1	0	promoter
chr3_10182919_10185139	VHL	0	promoter
chr3_10187323_10187791	VHL	3852	distal
chr3_10190887_10191383	VHL	7416	distal
chr3_10203934_10204221	IRAK2	-2328	distal
chr3_10206040_10207509	IRAK2	0	promoter
chr3_10208942_10209277	IRAK2	2394	distal
chr3_10215079_10216274	IRAK2	8531	distal
chr3_10223272_10223432	IRAK2	16724	distal
chr3_10227665_10228347	IRAK2	21117	distal
chr3_10230705_10232025	IRAK2	24157	distal
chr3_10233525_10238700	IRAK2	26977	distal
chr3_10240134_10241680	IRAK2	33586	distal
chr3_10253501_10254402	IRAK2;TATDN2	0;-35305	distal;distal
chr3_10262307_10262799	IRAK2;TATDN2	0;-26908	distal;distal
chr3_10265274_10265863	IRAK2;TATDN2	0;-23844	distal;distal
chr3_10266374_10267292	IRAK2;TATDN2	0;-22415	distal;distal
chr3_10270169_10270764	IRAK2;TATDN2	0;-18943	distal;distal
chr3_10273668_10274331	IRAK2;TATDN2	0;-15376	distal;distal
chr3_10279910_10280523	IRAK2;TATDN2	0;-9184	distal;distal
chr3_10283711_10284725	IRAK2;TATDN2	0;-4982	distal;distal
chr3_10289448_10291867	RP11-438J1.1;TATDN2	0;0	promoter;promoter
chr3_10305195_10306175	RP11-438J1.1;TATDN2	14140;0	distal;distal
chr3_10326144_10326727	GHRL;RP11-438J1.1	5169;0	distal;distal
chr3_10328477_10329019	GHRL	2877	distal
chr3_10334189_10335174	GHRL	0	promoter
chr3_10336016_10336134	GHRL	-1386	distal
chr3_10362002_10364398	SEC13	0	promoter
chr3_10385823_10386242	ATP2B2;SEC13	0;-22962	distal;distal
chr3_10412181_10412485	ATP2B2;SEC13	0;-49320	distal;distal
chr3_10431639_10432158	ATP2B2	59069	distal
chr3_10437414_10437716	ATP2B2	53511	distal
chr3_10478908_10479479	ATP2B2	11748	distal
chr3_10501784_10502230	ATP2B2	-10321	distal
chr3_10593551_10594357	ATP2B2	-46211	distal
chr3_10636637_10636987	ATP2B2	-89297	distal
chr3_10645055_10645550	ATP2B2	-97715	distal
chr3_10780424_10780950	ATP2B2	-30733	distal
chr3_10800308_10800587	ATP2B2	-50617	distal
chr3_10888069_10888471	SLC6A11	30184	distal
chr3_10987416_10987473	SLC6A1	-46399	distal
chr3_11101213_11101572	SLC6A1	42397	distal
chr3_11102378_11102835	SLC6A1	43562	distal
chr3_11114400_11114500	SLC6A1	55584	distal
chr3_11119061_11119714	HRH1	-59065	distal
chr3_11120671_11121321	HRH1	-57458	distal
chr3_11138221_11138629	HRH1	-40150	distal
chr3_11181874_11182527	HRH1	3096	distal
chr3_11200947_11201769	HRH1	4734	distal
chr3_11259093_11259308	HRH1	-35077	distal
chr3_11265215_11265595	HRH1	-28790	distal
chr3_11266829_11267898	HRH1	-26487	distal
chr3_11269229_11269633	HRH1	-24752	distal
chr3_11278284_11278690	HRH1	-15695	distal
chr3_11313435_11316639	ATG7	0	promoter
chr3_11317625_11317931	ATG7	3524	distal
chr3_11324701_11325173	ATG7	10600	distal
chr3_11329748_11331533	ATG7	15647	distal
chr3_11332731_11333783	ATG7	18630	distal
chr3_11342371_11342855	ATG7	28270	distal
chr3_11348331_11348761	ATG7	34230	distal
chr3_11376463_11376864	ATG7	62362	distal
chr3_11408744_11408842	ATG7	94643	distal
chr3_11420808_11420999	ATG7	106707	distal
chr3_11497384_11497836	ATG7;VGLL4	0;112562	distal;distal
chr3_11535638_11535746	ATG7;VGLL4	0;74652	distal;distal
chr3_11585805_11586126	ATG7;VGLL4	0;24272	distal;distal
chr3_11612157_11612893	VGLL4	-1760	distal
chr3_11624155_11624238	VGLL4	-291	promoter
chr3_11643244_11643623	VGLL4	2432	distal
chr3_11665569_11666097	VGLL4	19301	distal
chr3_11675527_11675930	VGLL4	9468	distal
chr3_11683057_11685747	VGLL4	0	promoter
chr3_11759864_11762495	VGLL4	0	promoter
chr3_11766396_11766481	VGLL4	-4177	distal
chr3_11811598_11812642	VGLL4	-49379	distal
chr3_11826101_11826970	TAMM41	61276	distal
chr3_11845419_11845864	TAMM41	42382	distal
chr3_11887594_11889253	TAMM41	0	promoter
chr3_12045537_12046013	SYN2	0	promoter
chr3_12176483_12176960	SYN2;TIMP4	0;23891	distal;distal
chr3_12189631_12190140	SYN2;TIMP4	0;10711	distal;distal
chr3_12199842_12200450	SYN2;TIMP4	0;401	distal;distal
chr3_12211575_12212190	SYN2;TIMP4	0;-10725	distal;distal
chr3_12217336_12217747	SYN2;TIMP4	0;-16486	distal;distal
chr3_12219559_12219981	SYN2;TIMP4	0;-18709	distal;distal
chr3_12228436_12230059	SYN2;TIMP4	0;-27586	distal;distal
chr3_12234814_12236150	TIMP4	-33964	distal
chr3_12295417_12295707	PPARG	-33160	distal
chr3_12329227_12330321	PPARG	0	promoter
chr3_12345058_12345930	PPARG	-7957	distal
chr3_12364803_12365057	PPARG	10917	distal
chr3_12367478_12367821	PPARG	13592	distal
chr3_12370147_12370389	PPARG	16261	distal
chr3_12377632_12378000	PPARG	-14971	distal
chr3_12391678_12393088	PPARG	0	promoter
chr3_12395217_12396210	PPARG	2247	distal
chr3_12398416_12398951	PPARG	5446	distal
chr3_12435304_12435905	PPARG	42334	distal
chr3_12436791_12437495	PPARG	43821	distal
chr3_12447140_12447643	PPARG	54170	distal
chr3_12455358_12455702	PPARG	62388	distal
chr3_12469104_12469370	PPARG;TSEN2	0;-56572	distal;distal
chr3_12500266_12501060	TSEN2	-24882	distal
chr3_12503793_12504845	TSEN2	-21097	distal
chr3_12521120_12521948	TSEN2	-3994	distal
chr3_12525007_12526680	TSEN2	0	promoter
chr3_12528419_12528820	TSEN2	2410	distal
chr3_12545050_12545474	TSEN2	13772	distal
chr3_12595514_12595881	MKRN2	-2632	distal
chr3_12597757_12599561	MKRN2	0	promoter
chr3_12631592_12632050	MKRN2;RAF1	33004;0	distal;distal
chr3_12648643_12649033	MKRN2;RAF1	50055;0	distal;distal
chr3_12654698_12655058	RAF1	50589	distal
chr3_12667253_12667623	RAF1	38024	distal
chr3_12688866_12689581	RAF1	16066	distal
chr3_12703623_12706438	RAF1	0	promoter
chr3_12717706_12718379	RAF1	-11982	distal
chr3_12723026_12724460	RAF1	-17302	distal
chr3_12747885_12748413	RAF1	-42161	distal
chr3_12761238_12762465	TMEM40	38293	distal
chr3_12791033_12791037	TMEM40	9721	distal
chr3_12828827_12829301	CAND2	-8670	distal
chr3_12837833_12838798	CAND2	0	promoter
chr3_12851159_12852597	CAND2	12940	distal
chr3_12881301_12883891	RPL32	0	promoter
chr3_12909386_12911038	RPL32	-26300	distal
chr3_12912161_12912967	RPL32	-29075	distal
chr3_12917469_12918015	RPL32	-34383	distal
chr3_12927577_12928188	RPL32	-44491	distal
chr3_12933233_12933946	RPL32	-50147	distal
chr3_12936980_12938132	RPL32	-53894	distal
chr3_12939151_12939214	IQSEC1;RPL32	0;-56065	distal;distal
chr3_12944658_12945321	IQSEC1;RPL32	0;-61572	distal;distal
chr3_12957415_12958202	IQSEC1	50966	distal
chr3_12966062_12966292	IQSEC1	42876	distal
chr3_12990603_12991391	IQSEC1	17777	distal
chr3_12996283_12997287	IQSEC1	11881	distal
chr3_13001269_13002399	IQSEC1	6769	distal
chr3_13005053_13005991	IQSEC1	3177	distal
chr3_13008069_13010062	IQSEC1	0	promoter
chr3_13015315_13015818	IQSEC1	-6148	distal
chr3_13025456_13026285	IQSEC1	2251	distal
chr3_13034580_13037740	IQSEC1	-6045	distal
chr3_13040336_13041552	IQSEC1	-11801	distal
chr3_13043801_13044683	IQSEC1	-15266	distal
chr3_13045741_13046309	IQSEC1	-17206	distal
chr3_13046827_13048797	IQSEC1	15299	distal
chr3_13050365_13058539	IQSEC1	5557	distal
chr3_13062636_13062829	IQSEC1	1267	distal
chr3_13066578_13067066	IQSEC1	-2483	distal
chr3_13081724_13082768	IQSEC1	-17629	distal
chr3_13087082_13088282	IQSEC1	-22987	distal
chr3_13110876_13111543	IQSEC1	3074	distal
chr3_13113638_13115626	IQSEC1	0	promoter
chr3_13116776_13117214	IQSEC1	-2160	distal
chr3_13125353_13125843	IQSEC1	-10737	distal
chr3_13129385_13129994	IQSEC1	-14769	distal
chr3_13133402_13134138	IQSEC1	-18786	distal
chr3_13151955_13152914	IQSEC1	-37339	distal
chr3_13191460_13191509	IQSEC1	-76844	distal
chr3_13231125_13231677	IQSEC1	-116509	distal
chr3_13275389_13276025	IQSEC1	-160773	distal
chr3_13324432_13324932	NUP210	136877	distal
chr3_13342906_13343404	NUP210	118405	distal
chr3_13349956_13350389	NUP210	111420	distal
chr3_13373650_13374173	NUP210	87636	distal
chr3_13385062_13385450	NUP210	76359	distal
chr3_13387728_13388768	NUP210	73041	distal
chr3_13390288_13390983	NUP210	70826	distal
chr3_13394192_13394622	NUP210	67187	distal
chr3_13455115_13458336	NUP210	3473	distal
chr3_13459391_13463386	NUP210	0	promoter
chr3_13469661_13470126	NUP210	-7853	distal
chr3_13492704_13494869	HDAC11	-26355	distal
chr3_13502982_13503529	HDAC11	-17695	distal
chr3_13520696_13522600	HDAC11	0	promoter
chr3_13526547_13527947	HDAC11	3802	distal
chr3_13537711_13538264	HDAC11	14966	distal
chr3_13585815_13586399	FBLN2	-4232	distal
chr3_13590262_13591495	FBLN2	0	promoter
chr3_13662982_13663754	FBLN2	52743	distal
chr3_13688825_13690195	FBLN2	78586	distal
chr3_13691690_13692633	FBLN2	81451	distal
chr3_13696189_13697289	FBLN2	85950	distal
chr3_13699238_13699791	FBLN2	88999	distal
chr3_13907572_13908771	WNT7A	12847	distal
chr3_13919569_13922690	WNT7A	0	promoter
chr3_13926860_13927362	WNT7A	-5243	distal
chr3_13932073_13933552	WNT7A	-10456	distal
chr3_13936408_13938491	WNT7A	-14791	distal
chr3_14165294_14168061	CHCHD4;TMEM43	0;0	promoter;promoter
chr3_14169699_14169787	TMEM43	3260	distal
chr3_14182715_14186715	RP11-434D12.1;TMEM43;XPC	5999;0;0	distal;distal;distal
chr3_14187267_14187793	RP11-434D12.1;XPC	10551;0	distal;distal
chr3_14216888_14217693	LSM3;XPC	-2165;0	distal;distal
chr3_14219048_14220953	LSM3;XPC	0;0	promoter;promoter
chr3_14244893_14245379	XPC	-24611	distal
chr3_14266974_14267216	XPC	-46692	distal
chr3_14274208_14274507	XPC	-53926	distal
chr3_14302638_14303072	XPC	-82356	distal
chr3_14360995_14361604	SLC6A6	-82472	distal
chr3_14370972_14371266	SLC6A6	-72810	distal
chr3_14405401_14405825	SLC6A6	-38251	distal
chr3_14407816_14408139	SLC6A6	-35937	distal
chr3_14413087_14413792	SLC6A6	-30284	distal
chr3_14419021_14420029	SLC6A6	-24047	distal
chr3_14425590_14425991	SLC6A6	-18085	distal
chr3_14429712_14430105	SLC6A6	-13971	distal
chr3_14432616_14433251	SLC6A6	-10825	distal
chr3_14438935_14439485	SLC6A6	-4591	distal
chr3_14443391_14446523	SLC6A6	0	promoter
chr3_14447293_14447773	SLC6A6	3174	distal
chr3_14451887_14453043	SLC6A6	7768	distal
chr3_14455131_14455421	SLC6A6	11012	distal
chr3_14459850_14461038	SLC6A6	15731	distal
chr3_14465736_14468139	SLC6A6	21617	distal
chr3_14470103_14471294	SLC6A6	25984	distal
chr3_14472627_14476557	SLC6A6	28508	distal
chr3_14478125_14478634	SLC6A6	34006	distal
chr3_14480689_14481940	SLC6A6	36570	distal
chr3_14495333_14495673	SLC6A6	51214	distal
chr3_14503201_14503641	SLC6A6	59082	distal
chr3_14509377_14509989	SLC6A6	65258	distal
chr3_14550401_14550811	GRIP2	31070	distal
chr3_14675283_14675747	CCDC174	-17506	distal
chr3_14692554_14694228	CCDC174	0	promoter
chr3_14732859_14732992	C3orf20	16174	distal
chr3_14848081_14848503	FGD5	-11966	distal
chr3_14962440_14963248	FGD5;NR2C2	0;-25843	distal;distal
chr3_14967171_14967572	FGD5;NR2C2	0;-21519	distal;distal
chr3_14988192_14990674	NR2C2	0	promoter
chr3_15000729_15001443	NR2C2	-2471	distal
chr3_15022236_15022605	NR2C2	18323	distal
chr3_15030473_15030985	NR2C2	-14437	distal
chr3_15091871_15092340	MRPS25	14427	distal
chr3_15092988_15093460	MRPS25	13307	distal
chr3_15096444_15097081	MRPS25	9686	distal
chr3_15105708_15107446	MRPS25	0	promoter
chr3_15139247_15141532	RBSN	0	promoter
chr3_15149506_15150169	RBSN	-8837	distal
chr3_15160078_15160756	RBSN	-19409	distal
chr3_15244060_15244834	CAPN7	-2916	distal
chr3_15247052_15249029	CAPN7	0	promoter
chr3_15258883_15258884	CAPN7	11134	distal
chr3_15282846_15283226	CAPN7	35097	distal
chr3_15309066_15310122	CAPN7;SH3BP5	61317;0	distal;distal
chr3_15310756_15312079	SH3BP5	62057	distal
chr3_15312927_15315254	SH3BP5	58882	distal
chr3_15316764_15317060	SH3BP5	57076	distal
chr3_15328962_15329651	SH3BP5	44485	distal
chr3_15332084_15332666	SH3BP5	41470	distal
chr3_15333214_15335031	SH3BP5	39105	distal
chr3_15335595_15337599	SH3BP5	36537	distal
chr3_15341710_15342669	SH3BP5	31467	distal
chr3_15345676_15346155	SH3BP5	27981	distal
chr3_15347892_15348298	SH3BP5	25838	distal
chr3_15352234_15352542	SH3BP5	21594	distal
chr3_15354988_15355381	SH3BP5	18755	distal
chr3_15356510_15356887	SH3BP5	17249	distal
chr3_15361858_15362311	SH3BP5	11825	distal
chr3_15371839_15371958	SH3BP5	2178	distal
chr3_15372976_15374724	SH3BP5	0	promoter
chr3_15381464_15381508	SH3BP5	1367	distal
