STUDY	BIOENTITY	PROPERTY_TYPE	PROPERTY_VALUE	SEMANTIC_TAG
Oligodendrocyte_MS	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Oligodendrocyte_MS	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
Oligodendrocyte_MS	sequencing_protocol	instrument_manufacturer_model	HiSeq3000	http://www.ebi.ac.uk/efo/EFO_0008564
Oligodendrocyte_MS	library_preparation_protocol	library_construction_method	10X 3' v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009899
Oligodendrocyte_MS	collection_protocol	method	cadaver dissection	http://www.ebi.ac.uk/efo/EFO_0009807
Oligodendrocyte_MS	dissociation_protocol	method	mechanical dissociation	http://www.ebi.ac.uk/efo/EFO_0009129
Oligodendrocyte_MS	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
Oligodendrocyte_MS	specimen_from_organism	organ	brain	http://purl.obolibrary.org/obo/UBERON_0000955
Oligodendrocyte_MS	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
Pitx2DevelopingHeart	donor_organism	development_stage	Theiler stage 17	http://www.ebi.ac.uk/efo/EFO_0002583
Pitx2DevelopingHeart	donor_organism	development_stage	Theiler stage 21	http://www.ebi.ac.uk/efo/EFO_0002584
Pitx2DevelopingHeart	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Pitx2DevelopingHeart	donor_organism	genus_species	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
Pitx2DevelopingHeart	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
Pitx2DevelopingHeart	sequencing_protocol	instrument_manufacturer_model	NextSeq 500	http://www.ebi.ac.uk/efo/EFO_0009173
Pitx2DevelopingHeart	library_preparation_protocol	library_construction_method	10X v2 3' sequencing	http://www.ebi.ac.uk/efo/EFO_0009899
Pitx2DevelopingHeart	collection_protocol	method	dissection	http://www.ebi.ac.uk/efo/EFO_0003856
Pitx2DevelopingHeart	dissociation_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
Pitx2DevelopingHeart	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
Pitx2DevelopingHeart	specimen_from_organism	organ	heart	http://purl.obolibrary.org/obo/UBERON_0000948
Pitx2DevelopingHeart	donor_organism	organism_age_unit	day	http://purl.obolibrary.org/obo/UO_0000033
prefrontal_cortex_dev	donor_organism	development_stage	10th post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000047
prefrontal_cortex_dev	donor_organism	development_stage	12th post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000049
prefrontal_cortex_dev	donor_organism	development_stage	13th post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000050
prefrontal_cortex_dev	donor_organism	development_stage	16th post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000053
prefrontal_cortex_dev	donor_organism	development_stage	19th post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000056
prefrontal_cortex_dev	donor_organism	development_stage	23rd post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000060
prefrontal_cortex_dev	donor_organism	development_stage	26th post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000063
prefrontal_cortex_dev	donor_organism	development_stage	9th post-conception week	http://purl.obolibrary.org/obo/HsapDv_0000046
prefrontal_cortex_dev	donor_organism	development_stage	Carnegie stage 23	http://purl.obolibrary.org/obo/HsapDv_0000030
prefrontal_cortex_dev	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
prefrontal_cortex_dev	donor_organism	ethnicity	Chinese	http://purl.obolibrary.org/obo/HANCESTRO_0021
prefrontal_cortex_dev	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
prefrontal_cortex_dev	donor_organism	gestational_age_unit	week	http://purl.obolibrary.org/obo/UO_0000034
prefrontal_cortex_dev	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
prefrontal_cortex_dev	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 4000	http://www.ebi.ac.uk/efo/EFO_0008563
prefrontal_cortex_dev	library_preparation_protocol	library_construction_method	Smart-Seq2	http://www.ebi.ac.uk/efo/EFO_0008931
prefrontal_cortex_dev	collection_protocol	method	collecting specimen from organ postmortem	http://www.ebi.ac.uk/efo/EFO_0009627
prefrontal_cortex_dev	dissociation_protocol	method	enzymatic digestion	http://www.ebi.ac.uk/efo/EFO_0009128
prefrontal_cortex_dev	sequencing_protocol	method	full length single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008441
prefrontal_cortex_dev	specimen_from_organism	organ	brain	http://purl.obolibrary.org/obo/UBERON_0000955
prefrontal_cortex_dev	specimen_from_organism	organ_parts	prefrontal cortex	http://purl.obolibrary.org/obo/UBERON_0000451
prefrontal_cortex_dev	cell_suspension	selected_cell_types	neuronal cell	http://purl.obolibrary.org/obo/CL_0002319
Reprogrammed_Dendritic_Cells	cell_line	cell_type	dendritic cell	http://purl.obolibrary.org/obo/CL_0000451
Reprogrammed_Dendritic_Cells	donor_organism	development_stage	6.5 week-old human embryo	http://purl.obolibrary.org/obo/HsapDv_0000025
Reprogrammed_Dendritic_Cells	donor_organism	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
Reprogrammed_Dendritic_Cells	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Reprogrammed_Dendritic_Cells	donor_organism	diseases	Normal	http://purl.obolibrary.org/obo/PATO_0000461
Reprogrammed_Dendritic_Cells	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Reprogrammed_Dendritic_Cells	donor_organism	gestational_age_unit	week	http://purl.obolibrary.org/obo/UO_0000034
Reprogrammed_Dendritic_Cells	library_preparation_protocol	input_nucleic_acid_molecule	mRNA	http://purl.obolibrary.org/obo/CHEBI_33699
Reprogrammed_Dendritic_Cells	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
Reprogrammed_Dendritic_Cells	sequencing_protocol	instrument_manufacturer_model	Illumina NextSeq 500	http://www.ebi.ac.uk/efo/EFO_0009173
Reprogrammed_Dendritic_Cells	library_preparation_protocol	library_construction_method	10X 3' v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009899
Reprogrammed_Dendritic_Cells	library_preparation_protocol	library_construction_method	10X v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009310
Reprogrammed_Dendritic_Cells	collection_protocol	method	Dissection	http://www.ebi.ac.uk/efo/EFO_0003856
Reprogrammed_Dendritic_Cells	dissociation_protocol	method	Enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
Reprogrammed_Dendritic_Cells	enrichment_protocol	method	FACS sorting	http://www.ebi.ac.uk/efo/EFO_0009108
Reprogrammed_Dendritic_Cells	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
Reprogrammed_Dendritic_Cells	cell_line/organoid	model_organ	immune system	http://purl.obolibrary.org/obo/UBERON_0002405
Reprogrammed_Dendritic_Cells	specimen_from_organism	organ	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
Reprogrammed_Dendritic_Cells	specimen_from_organism	organ	skin of body	http://purl.obolibrary.org/obo/UBERON_0002097
Reprogrammed_Dendritic_Cells	specimen_from_organism	organ_parts	skin epidermis	http://purl.obolibrary.org/obo/UBERON_0001003
Reprogrammed_Dendritic_Cells	cell_suspension	selected_cell_types	Human Embryonic fibroblast	http://purl.obolibrary.org/obo/CL_2000042
Reprogrammed_Dendritic_Cells	cell_suspension	selected_cell_types	Reprogrammed dendritic cell	http://purl.obolibrary.org/obo/CL_0000451
scFetalPaedIBDGut	donor_organism	age_unit	week	http://purl.obolibrary.org/obo/UO_0000034
scFetalPaedIBDGut	donor_organism	development_stage	10th week post-fertilization human stage	http://purl.obolibrary.org/obo/HsapDv_0000047
scFetalPaedIBDGut	donor_organism	development_stage	9th week post-fertilization human stage	http://purl.obolibrary.org/obo/HsapDv_0000046
scFetalPaedIBDGut	donor_organism	development_stage	adolescent stage	http://purl.obolibrary.org/obo/HsapDv_0000086
scFetalPaedIBDGut	donor_organism	development_stage	child stage	http://purl.obolibrary.org/obo/HsapDv_0000081
scFetalPaedIBDGut	donor_organism	development_stage	embryonic human stage	http://purl.obolibrary.org/obo/HsapDv_0000002
scFetalPaedIBDGut	donor_organism	diseases	Crohn Disease	http://purl.obolibrary.org/obo/MONDO_0005011
scFetalPaedIBDGut	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
scFetalPaedIBDGut	donor_organism	diseases	Normal control	http://purl.obolibrary.org/obo/PATO_0000461
scFetalPaedIBDGut	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
scFetalPaedIBDGut	donor_organism	gestational_age_unit	week	http://purl.obolibrary.org/obo/UO_0000034
scFetalPaedIBDGut	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
scFetalPaedIBDGut	sequencing_protocol	instrument_manufacturer_model	Illumina Hi-seq 4000	http://www.ebi.ac.uk/efo/EFO_0008563
scFetalPaedIBDGut	library_preparation_protocol	library_construction_method	10x v2 3 prime	http://www.ebi.ac.uk/efo/EFO_0009899
scFetalPaedIBDGut	collection_protocol	method	biopsy	http://www.ebi.ac.uk/efo/EFO_0009120
scFetalPaedIBDGut	collection_protocol	method	dissection	http://www.ebi.ac.uk/efo/EFO_0003856
scFetalPaedIBDGut	dissociation_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
scFetalPaedIBDGut	enrichment_protocol	method	MACS	http://www.ebi.ac.uk/efo/EFO_0009109
scFetalPaedIBDGut	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
scFetalPaedIBDGut	cell_line/organoid	model_organ	small intestine	http://purl.obolibrary.org/obo/UBERON_0002108
scFetalPaedIBDGut	cell_line/organoid	model_organ_part	ileum	http://purl.obolibrary.org/obo/UBERON_0002116
scFetalPaedIBDGut	specimen_from_organism	organ	large intestine	http://purl.obolibrary.org/obo/UBERON_0000059
scFetalPaedIBDGut	specimen_from_organism	organ	small intestine	http://purl.obolibrary.org/obo/UBERON_0002108
scFetalPaedIBDGut	specimen_from_organism	organ_parts	colon	http://purl.obolibrary.org/obo/UBERON_0001155
scFetalPaedIBDGut	specimen_from_organism	organ_parts	duodenum	http://purl.obolibrary.org/obo/UBERON_0002114
scFetalPaedIBDGut	specimen_from_organism	organ_parts	ileum	http://purl.obolibrary.org/obo/UBERON_0002116
scFetalPaedIBDGut	specimen_from_organism	organ_parts	jejenum	http://purl.obolibrary.org/obo/UBERON_0002115
scFetalPaedIBDGut	specimen_from_organism	organ_parts	terminal ileum	http://purl.obolibrary.org/obo/UBERON_0002116
scFetalPaedIBDGut	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
scFetalPaedIBDGut	cell_suspension	selected_cell_types	epithelial cell	http://purl.obolibrary.org/obo/CL_0000066
scHumanPancreas	donor_organism	development_stage	1-month-old human stage	http://purl.obolibrary.org/obo/HsapDv_0000174
scHumanPancreas	donor_organism	development_stage	5-year-old human stage	http://purl.obolibrary.org/obo/HsapDv_0000099
scHumanPancreas	donor_organism	development_stage	6-year-old human stage	http://purl.obolibrary.org/obo/HsapDv_0000100
scHumanPancreas	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
scHumanPancreas	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
scHumanPancreas	donor_organism	ethnicity	African American/Afro-Caribbean	http://purl.obolibrary.org/obo/HANCESTRO_0016
scHumanPancreas	donor_organism	ethnicity	Asian	http://purl.obolibrary.org/obo/HANCESTRO_0008
scHumanPancreas	donor_organism	ethnicity	European	http://purl.obolibrary.org/obo/HANCESTRO_0005
scHumanPancreas	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
scHumanPancreas	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
scHumanPancreas	sequencing_protocol	instrument_manufacturer_model	Illumina NextSeq 500	http://www.ebi.ac.uk/efo/EFO_0009173
scHumanPancreas	library_preparation_protocol	library_construction_method	Smart-seq2	http://www.ebi.ac.uk/efo/EFO_0008931
scHumanPancreas	collection_protocol	method	collecting specimen from organ postmortem	http://www.ebi.ac.uk/efo/EFO_0009627
scHumanPancreas	enrichment_protocol	method	FACS	http://www.ebi.ac.uk/efo/EFO_0009108
scHumanPancreas	enrichment_protocol	method	fluorescence-activated cell sorting	http://www.ebi.ac.uk/efo/EFO_0009108
scHumanPancreas	sequencing_protocol	method	full length single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008441
scHumanPancreas	specimen_from_organism	organ	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264
scHumanPancreas	specimen_from_organism	organ_parts	islet of Langerhans	http://purl.obolibrary.org/obo/UBERON_0000006
scHumanPancreas	donor_organism	organism_age_unit	month	http://purl.obolibrary.org/obo/UO_0000035
scHumanPancreas	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
scRNAseqSystemicComparison	library_preparation_protocol	cdna_library_amplification_method	in vitro transcription	http://www.ebi.ac.uk/efo/EFO_0009013
scRNAseqSystemicComparison	library_preparation_protocol	cdna_library_amplification_method	PCR	http://purl.obolibrary.org/obo/OBI_0000415
scRNAseqSystemicComparison	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
scRNAseqSystemicComparison	donor_organism	development_stage	juvenile stage	http://purl.obolibrary.org/obo/UBERON_0034919
scRNAseqSystemicComparison	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
scRNAseqSystemicComparison	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
scRNAseqSystemicComparison	donor_organism	genus_species	Mus musculus	http://purl.obolibrary.org/obo/NCBITaxon_10090
scRNAseqSystemicComparison	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 2500	http://www.ebi.ac.uk/efo/EFO_0008565
scRNAseqSystemicComparison	library_preparation_protocol	library_construction_method	10x Chromium (v2)	http://www.ebi.ac.uk/efo/EFO_0009310
scRNAseqSystemicComparison	library_preparation_protocol	library_construction_method	10x Chromium (v3)	http://www.ebi.ac.uk/efo/EFO_0009898
scRNAseqSystemicComparison	library_preparation_protocol	library_construction_method	DroNc-seq	http://www.ebi.ac.uk/efo/EFO_0008720
scRNAseqSystemicComparison	library_preparation_protocol	library_construction_method	Drop-seq	http://www.ebi.ac.uk/efo/EFO_0008722
scRNAseqSystemicComparison	library_preparation_protocol	library_construction_method	inDrop	http://www.ebi.ac.uk/efo/EFO_0008780
scRNAseqSystemicComparison	library_preparation_protocol	library_construction_method	Smart-seq2	http://www.ebi.ac.uk/efo/EFO_0008931
scRNAseqSystemicComparison	collection_protocol	method	blood draw	http://www.ebi.ac.uk/efo/EFO_0009121
scRNAseqSystemicComparison	dissociation_protocol	method	density gradient centrifugation	http://www.ebi.ac.uk/efo/EFO_0009112
scRNAseqSystemicComparison	collection_protocol	method	dissection	http://www.ebi.ac.uk/efo/EFO_0003856
scRNAseqSystemicComparison	enrichment_protocol	method	FACS	http://www.ebi.ac.uk/efo/EFO_0009108
scRNAseqSystemicComparison	dissociation_protocol	method	Ficoll-Paque density gradient centrifugation	http://www.ebi.ac.uk/efo/EFO_0009110
scRNAseqSystemicComparison	sequencing_protocol	method	full length	http://www.ebi.ac.uk/efo/EFO_0008441
scRNAseqSystemicComparison	dissociation_protocol	method	mechanical dissociation	http://www.ebi.ac.uk/efo/EFO_0009129
scRNAseqSystemicComparison	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
scRNAseqSystemicComparison	specimen_from_organism	organ	blood	http://purl.obolibrary.org/obo/UBERON_0000178
scRNAseqSystemicComparison	specimen_from_organism	organ	brain	http://purl.obolibrary.org/obo/UBERON_0000955
scRNAseqSystemicComparison	specimen_from_organism	organ_parts	cortex	http://purl.obolibrary.org/obo/UBERON_0001851
scRNAseqSystemicComparison	specimen_from_organism	organ_parts	venous blood	http://purl.obolibrary.org/obo/UBERON_0013756
scRNAseqSystemicComparison	donor_organism	organism_age_unit	month	http://purl.obolibrary.org/obo/UO_0000035
scRNAseqSystemicComparison	cell_suspension	selected_cell_types	mononuclear cell	http://purl.obolibrary.org/obo/CL_0000842
scRNAseqSystemicComparison	donor_organism	strain	C57BL/6	http://www.ebi.ac.uk/efo/EFO_0004472
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	cell_line	cell_type	embryonic stem cell	http://purl.obolibrary.org/obo/CL_0002322
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	cell_line	cell_type	interneuron	http://purl.obolibrary.org/obo/CL_0000099
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	donor_organism	development_stage	human embryonic stage	http://purl.obolibrary.org/obo/HsapDv_0000002
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	donor_organism	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 2500	http://www.ebi.ac.uk/efo/EFO_0008565
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	library_preparation_protocol	library_construction_method	Smart-seq2	http://www.ebi.ac.uk/efo/EFO_0008931
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	dissociation_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	enrichment_protocol	method	fluorescence-activated cell sorting	http://www.ebi.ac.uk/efo/EFO_0009108
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	sequencing_protocol	method	full length single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008441
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	cell_line/organoid	model_organ	brain	http://purl.obolibrary.org/obo/UBERON_0000955
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	cell_line/organoid	model_organ	stem cell	http://purl.obolibrary.org/obo/CL_0000034
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	specimen_from_organism	organ	embryo	http://purl.obolibrary.org/obo/UBERON_0000922
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	specimen_from_organism	organ_parts	blastocyst	http://purl.obolibrary.org/obo/UBERON_0000358
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	cell_suspension	selected_cell_types	inhibitory interneurons	http://purl.obolibrary.org/obo/CL_0000498
Single cell RNAseq characterization of cell types produced over time in an in vitro model of human inhibitory interneuron differentiation.	donor_organism	unit	day	http://purl.obolibrary.org/obo/UO_0000033
Single cell transcriptome analysis of human pancreas	donor_organism	development_stage	1-month-old human stage	http://purl.obolibrary.org/obo/HsapDv_0000174
Single cell transcriptome analysis of human pancreas	donor_organism	development_stage	5-year-old human stage	http://purl.obolibrary.org/obo/HsapDv_0000099
Single cell transcriptome analysis of human pancreas	donor_organism	development_stage	6-year-old human stage	http://purl.obolibrary.org/obo/HsapDv_0000100
Single cell transcriptome analysis of human pancreas	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
Single cell transcriptome analysis of human pancreas	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Single cell transcriptome analysis of human pancreas	donor_organism	ethnicity	African American/Afro-Caribbean	http://purl.obolibrary.org/obo/HANCESTRO_0016
Single cell transcriptome analysis of human pancreas	donor_organism	ethnicity	Asian	http://purl.obolibrary.org/obo/HANCESTRO_0008
Single cell transcriptome analysis of human pancreas	donor_organism	ethnicity	European	http://purl.obolibrary.org/obo/HANCESTRO_0005
Single cell transcriptome analysis of human pancreas	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Single cell transcriptome analysis of human pancreas	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
Single cell transcriptome analysis of human pancreas	sequencing_protocol	instrument_manufacturer_model	Illumina NextSeq 500	http://www.ebi.ac.uk/efo/EFO_0009173
Single cell transcriptome analysis of human pancreas	library_preparation_protocol	library_construction_method	Smart-seq2	http://www.ebi.ac.uk/efo/EFO_0008931
Single cell transcriptome analysis of human pancreas	enrichment_protocol	method	FACS	http://www.ebi.ac.uk/efo/EFO_0009108
Single cell transcriptome analysis of human pancreas	enrichment_protocol	method	fluorescence-activated cell sorting	http://www.ebi.ac.uk/efo/EFO_0009108
Single cell transcriptome analysis of human pancreas	sequencing_protocol	method	full length single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008441
Single cell transcriptome analysis of human pancreas	specimen_from_organism	organ	pancreas	http://purl.obolibrary.org/obo/UBERON_0001264
Single cell transcriptome analysis of human pancreas	specimen_from_organism	organ_parts	islet of Langerhans	http://purl.obolibrary.org/obo/UBERON_0000006
Single cell transcriptome analysis of human pancreas	donor_organism	organism_age_unit	month	http://purl.obolibrary.org/obo/UO_0000035
Single cell transcriptome analysis of human pancreas	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
SingleCellLiverLandscape	donor_organism	development_stage	adult	http://purl.obolibrary.org/obo/HsapDv_0000087
SingleCellLiverLandscape	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
SingleCellLiverLandscape	donor_organism	diseases	Normal	http://purl.obolibrary.org/obo/PATO_0000461
SingleCellLiverLandscape	donor_organism	ethnicity	Black	http://purl.obolibrary.org/obo/HANCESTRO_0016
SingleCellLiverLandscape	donor_organism	ethnicity	White	http://purl.obolibrary.org/obo/HANCESTRO_0005
SingleCellLiverLandscape	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
SingleCellLiverLandscape	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
SingleCellLiverLandscape	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 2500	http://www.ebi.ac.uk/efo/EFO_0008565
SingleCellLiverLandscape	library_preparation_protocol	library_construction_method	10x v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009310
SingleCellLiverLandscape	sequencing_protocol	method	3' end single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
SingleCellLiverLandscape	enrichment_protocol	method	cell size selection	http://www.ebi.ac.uk/efo/EFO_0009337
SingleCellLiverLandscape	dissociation_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
SingleCellLiverLandscape	collection_protocol	method	surgical resection	http://www.ebi.ac.uk/efo/EFO_0009744
SingleCellLiverLandscape	specimen_from_organism	organ	liver	http://purl.obolibrary.org/obo/UBERON_0002107
SingleCellLiverLandscape	specimen_from_organism	organ_parts	caudate lobe	http://purl.obolibrary.org/obo/UBERON_0001117
SingleCellLiverLandscape	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
Singlecellsequencingoflungcarcinoma	donor_organism	development_stage	human adult stage	http://purl.obolibrary.org/obo/HsapDv_0000087
Singlecellsequencingoflungcarcinoma	donor_organism	diseases	lung carcinoma	http://purl.obolibrary.org/obo/MONDO_0005138
Singlecellsequencingoflungcarcinoma	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
Singlecellsequencingoflungcarcinoma	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
Singlecellsequencingoflungcarcinoma	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
Singlecellsequencingoflungcarcinoma	sequencing_protocol	instrument_manufacturer_model	Illumina HiSeq 4000	http://www.ebi.ac.uk/efo/EFO_0008563
Singlecellsequencingoflungcarcinoma	library_preparation_protocol	library_construction_method	10X v1 sequencing	http://www.ebi.ac.uk/efo/EFO_0009897
Singlecellsequencingoflungcarcinoma	library_preparation_protocol	library_construction_method	10X v2 sequencing	http://www.ebi.ac.uk/efo/EFO_0009310
Singlecellsequencingoflungcarcinoma	collection_protocol	method	enzymatic dissociation	http://www.ebi.ac.uk/efo/EFO_0009128
Singlecellsequencingoflungcarcinoma	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
Singlecellsequencingoflungcarcinoma	specimen_from_organism	organ	lung	http://purl.obolibrary.org/obo/UBERON_0002048
Singlecellsequencingoflungcarcinoma	donor_organism	organism_age_unit	year	http://purl.obolibrary.org/obo/UO_0000036
snRNA-seq_for_human_retina	library_preparation_protocol	cdna_library_amplification_method	PCR	http://purl.obolibrary.org/obo/OBI_0000415
snRNA-seq_for_human_retina	donor_organism	development_stage	human adult	http://purl.obolibrary.org/obo/HsapDv_0000087
snRNA-seq_for_human_retina	donor_organism	diseases	normal	http://purl.obolibrary.org/obo/PATO_0000461
snRNA-seq_for_human_retina	donor_organism	ethnicity	Caucasian	http://purl.obolibrary.org/obo/HANCESTRO_0005
snRNA-seq_for_human_retina	donor_organism	genus_species	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
snRNA-seq_for_human_retina	library_preparation_protocol	input_nucleic_acid_molecule	polyA RNA	http://purl.obolibrary.org/obo/OBI_0000869
snRNA-seq_for_human_retina	sequencing_protocol	instrument_manufacturer_model	Illumina Novaseq 6000	http://www.ebi.ac.uk/efo/EFO_0008637
snRNA-seq_for_human_retina	library_preparation_protocol	library_construction_method	10X 3' v3 sequencing	http://www.ebi.ac.uk/efo/EFO_0009922
snRNA-seq_for_human_retina	library_preparation_protocol	library_preamplification_method	reverse transcription PCR	http://purl.obolibrary.org/obo/OBI_0000552
snRNA-seq_for_human_retina	enrichment_protocol	method	antibody enrichment with FACS sorting	http://www.ebi.ac.uk/efo/EFO_0009108
snRNA-seq_for_human_retina	collection_protocol	method	dissection	http://www.ebi.ac.uk/efo/EFO_0003856
snRNA-seq_for_human_retina	dissociation_protocol	method	sample dissociation	http://www.ebi.ac.uk/efo/EFO_0009091
snRNA-seq_for_human_retina	sequencing_protocol	method	tag based single cell RNA sequencing	http://www.ebi.ac.uk/efo/EFO_0008440
snRNA-seq_for_human_retina	specimen_from_organism	organ	eye	http://purl.obolibrary.org/obo/UBERON_0000970
